Kode,Query,Dokumen Relevan(Surat:Ayat),Jumlah Relevan,Cakupan
A1,,"38:29, 14:52, 13:19, 2:269, 39:18, 39:9, 3:7, 40:54, 2:179, 38:43, 3:190, 65:10, 5:100, 12:111, 39:21, 2:197",16,
A2,,"37:182, 1:2, 6:45, 35:34, 40:65, 27:59, 27:93, 14:39, 31:25, 23:28, 18:1, 10:10, 27:15, 39:29, 39:74, 17:111, 39:75, 29:63, 34:1, 6:1, 16:75, 35:1, 7:43",23,
A3,,"33:45, 8:64, 66:9, 9:73, 33:1, 33:28, 66:1, 8:70, 33:59, 8:65, 60:12, 65:1, 33:50",13,
A4,,"91:13, 63:5, 63:1, 61:5, 61:6, 7:158, 48:29, 4:171, 33:21, 33:40, 49:3, 63:7, 49:7, 9:81, 9:61, 4:157, 9:120, 33:53, 6:124",19,
A5,,"9:22, 33:65, 4:169, 72:23, 98:8, 4:122, 4:57, 5:119, 9:100, 64:9, 65:11",11,
A6,,"21:85, 47:31, 16:126, 3:17, 2:153, 3:142, 22:35, 8:46, 2:155, 3:146, 37:102, 8:66, 33:35, 2:177, 2:249",15,
A7,,"83:10, 77:49, 77:47, 77:45, 77:40, 77:37, 77:34, 77:28, 77:24, 77:19, 77:15, 52:11",12,
A8,,"11:4, 3:189, 5:120, 57:2, 22:6, 48:21, 67:1, 33:27, 6:17, 42:9, 2:106, 9:39, 29:20, 5:40, 30:50, 16:77, 2:148, 3:165, 3:29, 64:1, 46:33, 41:39, 59:6, 3:26, 65:12, 2:284, 2:20, 5:19, 24:45, 35:1, 2:109, 8:41, 5:17, 66:8, 2:259",35,
A9,,"26:211, 36:75, 7:192, 36:50, 68:42, 25:9, 17:48, 21:40, 18:101, 7:197, 21:43, 4:98, 16:73, 11:20, 2:273",15,
A10,,"2:192, 24:5, 3:89, 8:69, 2:199, 5:39, 2:226, 2:182, 9:102, 64:14, 16:115, 58:12, 2:173, 49:14, 9:99, 9:5, 60:12, 24:62, 5:3, 73:20",20,
A11,,"2:171, 59:15, 2:17, 29:41, 14:18, 2:261, 62:5, 2:265, 2:214, 2:228",10,
A12,,"6:47, 23:94, 26:10, 10:85, 28:21, 23:41, 7:47, 23:28, 61:7, 11:44, 3:86, 46:10, 28:50, 66:11, 6:68, 62:5, 9:109, 5:51, 9:19, 28:25, 2:258, 7:150, 6:144",23,
A13,,"68:26, 26:86, 26:20, 37:69, 56:92, 56:51, 83:32, 15:56, 1:7, 23:106, 3:90, 6:77, 2:198",13,
A14,,"98:4, 2:209, 3:105, 2:211, 45:17, 3:19, 42:14, 3:61, 2:145, 4:153, 2:253, 2:213",12,
A15,,"36:5, 69:43, 56:80, 41:2, 26:192, 76:23, 46:2, 45:2, 40:2, 20:4, 32:2, 25:25, 17:106, 39:1, 41:42",15,
A16,,"23:102, 70:31, 23:7, 3:82, 7:178, 3:94, 24:52, 7:8, 5:47, 2:121, 63:9, 64:16, 30:39, 9:23, 60:9, 59:9, 5:45, 49:11, 24:55, 5:44, 2:229",21,
B1,,"37:159, 69:52, 56:96, 56:74, 37:180, 87:1, 52:43, 17:108, 15:98, 43:82, 30:17, 68:29, 21:22, 52:48, 16:57, 10:10, 110:3, 57:1, 61:1, 59:1, 40:55, 27:8, 39:75, 28:68, 16:1, 62:1, 39:4, 48:9, 12:108, 64:1, 50:39, 24:36, 7:206, 19:35, 24:41, 20:130, 41:38, 3:41, 2:116, 59:23, 23:91, 10:18, 42:5, 6:100, 10:68, 32:15, 3:191, 9:31, 59:24, 4:171, 13:13, 39:67, 30:40, 40:7, 43:13, 7:143, 5:116, 17:93, 17:1, 2:30",60,
B2,,"3:82, 51:46, 43:54, 7:102, 2:99, 59:19, 9:53, 10:33, 9:96, 5:47, 9:84, 21:74, 57:26, 27:12, 5:59, 7:145, 24:4, 5:108, 61:5, 18:50, 9:67, 28:32, 7:163, 2:26, 9:24, 24:55",26,
B3,,"91:9, 87:14, 23:102, 23:1, 31:5, 2:5, 28:67, 20:64, 7:8, 3:200, 8:45, 22:77, 3:130, 5:35, 62:10, 3:104, 5:100, 30:38, 9:88, 64:16, 5:90, 24:51, 7:69, 2:189, 59:9, 7:157, 58:22, 24:31",28,
B4,,"78:31, 26:90, 44:51, 77:41, 54:54, 52:17, 51:15, 15:45, 50:31, 38:49, 68:34, 43:67, 3:76, 25:15, 43:35, 3:133, 28:83, 45:19, 16:31, 7:128, 9:123, 11:49, 13:35, 16:30, 9:4, 9:7, 5:27, 2:194, 9:36, 47:15, 41:18, 27:53, 16:128, 12:57, 19:72, 39:61, 2:103, 7:201, 3:200, 3:123, 20:132, 47:36, 39:20, 2:212, 39:73, 8:29, 3:120, 3:15, 3:186, 7:156",50,
B5,,"12:103, 40:57, 34:28, 17:89, 27:73, 40:59, 25:50, 30:6, 34:36, 40:61, 30:30, 45:26, 12:38, 2:243, 16:38, 10:60, 13:1, 12:68, 12:40, 12:21, 11:17, 7:187",22,
