Query Code,Query Variations
A1,"khulul albab, qul albab, qulul albaaaab, qulul albaab, qulul albaabb, qululalbaab, ulul 'albaaab, ulul abab, ulul al baab, ulul al bab, ulul albaaaab, ulul albaaab, ulul albaaabb, ulul albaab, ulul albaab', ulul albab, ulul albab , ulul albabb, ululalbaab, ululalbab, ululalbab', uluul al baab, uluul albaab"
A2,"alhamdulillaah, alhamdulillaahi, alhamdulillah, alhamdulillah , alhamdulillah hi, alhamdulillahi, alhamdulillahy, alkhamdulillaahi"
A3,"ya ayu hannabi, ya ayuhannabiyu, ya ayyuhan nabiyyu, ya ayyuhannabiyyu, yaa aiyuhannabiyu, yaa aiyuhannabiyyu, yaa ay-yuhannabiiyu, yaa ayuhaladzi, yaa ayuhan nabiyu, yaa ayuhannabiyu, yaa ayyuhan nabiyu, yaa ayyuhan nabiyyu, yaa ayyuhan-nabiyyu, yaa ayyuhannabiy, yaa ayyuhannabiyu, yaa ayyuhannabiyyu, yaaa ayuhanabiyyu, yaaa ayuhannabiyu, yaaa ayyuhannabiyu, yaaa ayyuhannabiyyu, yaaaa ayyuhannabiyu, yaaaa ayyuhannabiyyu, yaaaa ayyuhannabiyyun, yaaaayuhanabiyu, yaaaayuhannabiyu, yaaayuhan nabiyu, yaayuhannabiyu, yaayyuhannabiyyu, yaayyuhannabiyyu "
A4,"rashulullah, rashulullahi, rasullahi, rasulluahi, rasullulahi, rasullullaahi, rasullullahi, rasullullohi, rasulullaahi, rasulullah, rasulullah , rasulullahi, rasululloh, rasuulullaah, rasuulullaahi, rasuulullahi, rosullohi, rosullullah, rosullullahi, rosullullohi, rosulullaahi, rosulullah, rosulullahi, rosululloh, rosulullohi, rosuulullahi, rosuulullohi"
A5,"holidinafiha abada, khaalidiina fii haa abadaa, khaalidiina fiihaa abada, khaalidiina fiihaa abadaa, khaalidiina fiihaa abadaa', khaalidiina fiihaaaa abadaa, khaalidiinafiihaa abadaa, khaalidina fihaa abadaa, khaalidinafiiha abada, khalidi na fiha abada, khalidiina fihaa abadaa, khalidiina fiiha abadaa, khalidiina fiihaa abadaa, khalidiinaa fiihaa abadaa, khalidiinafiiha abada, khalidina fiha abada, khalidina fihaaa abada, khalidina fiihaa abada, khalidina fiihaa abadaa, khalidinafiha abada, khalidinafihaa abada, khalidinafiiha abada, khalidinafiihaa abadaa, kholidi na fiha abada, kholidi na fii ha abada, kholidi nafiah habala, kholidiina fiiha abada, kholidiina fiihaa abadaa, kholidiinafiiha abada, kholidiinafiihaa abada, kholidina fi ha abada, kholidina fiha abada, kholidina fihaa abadaa, kholidina fii ha abada, kholidina fii haa abada, kholidina fiiha abada, kholidina fiihaa abadaa, kholidinaadihaaa abada, kholidinafiha abada, kholidinafiha abada', kholidinafihaa abada, kholidinafihaaa abada, kholidinafihaaabada, kholidinafihaabada, kholidinafiiha abada, kholidinafiihaaa abada, kholidinafiiiiha abada, kholidzina fihaa abada, kholifinafiha abada, khoolidiina fii haa abadaa, khoolidiina fiihaa abadaa, khoolidiinafiihaa abadaa, khoolidina fiiha abada, qalidinafiiha abadau, qolidina fiihaa abada"
A6,"dhaabiriin, sabiriin, sha biriin, shaabiriiiin, shaabiriiin, shaabiriin, shabiriiiin, shabiriin, shabirin, sho biriin, sho birin, shobhirin, shobiriiin, shobiriin, shobiriina, shobirin, shodirin, shoobiriin, shoobirin, sobbiriin, sobiriiin, sobiriin, sobirin, sobirriin, syahidin"
A7,"waelul yaumanidzin lil mukadzibiin, wailu yauma'izin mukazzibiin, wailui yauma-izil lil-mukadzdzibiin, wailui yaumaidzin lil mukadzibin, wailuiiyaumaizinlilmuqaszibin, wailuiyaumaidzilil mukadzibiin, wailul yaumaidzin lil mukadzibin, wailul yaumaidzinlilmukadzibin, wailulilmukadibin, wailulilmukadzibin, wailullil mukadzdzibiin, wailuluiyaumaizil mukazibiin, wailun yaumaizin lil mukazzibin, wailuy yauma idzil lil mukadzibin, wailuy yaumaidilil mukadzibin, wailuy yaumaidzil lil mukadzibin, wailuy yaumaidzil lilmukadzibiin, wailuy yaumaidzin lil mukadzibin, wailuy yaumaizil lil mukazzibiin, wailuyaumaidzillil mukadzibiin, wailuyaumaizilil mukadzibin, wailuyiyaumaidinmukadibin, wailuylimukazibin, wailuyyau maidzillil mukazibin, wailuyyauma idzil lil mukaddzibin, wailuyyauma idzil lil mukadz dzibin, wailuyyauma idzil lil mukadzdzibiin, wailuyyauma idzil lil mukadzibiin, wailuyyaumadilil mukadzibin, wailuyyaumaidhillilmukaddhibiin, wailuyyaumaidil lil mukaddibiin, wailuyyaumaidil lil mukadzibiin, wailuyyaumaidzil lil mukadzdzibiin, wailuyyaumaidzil lilmukadzdzibiin, wailuyyaumaidzil lilmukadzibiin, wailuyyaumaidzil lilmukadzibin, wailuyyaumaidzil mukadzdzibiin, wailuyyaumaidzillil mukadzdzibiin, wailuyyaumaidzillil mukadzibiin, wailuyyaumaidzillilmukadzdzibiin, wailuyyaumaidzin lilmukadzibiin, wailuyyaumaillil mukadzibiiin, wailuyyaumaizil lil mukadzibiin, wailuyyaumaizil lil mukazzibin, wailuyyaumaizin, wailuyyi yauma idzi lil mutoffifin, wailuyyi yaumaidzin yukadzibin, waluiyaumaidzillilmukaddibin, waylui yau muqkhadzibi lil mukhadizbin, waylul yaumaizin mukazzibiin, waylul yaumallilmukazzibiin, waylull yauma izil lil mukazzibiin, wayluy yaumaidzil lil mukadzdzibin, wayluy yaw maizil mukazzibin , wayluy yawma idzillil mukadzdzibiiiin, wayluy yawmaizil lilmukazzibiin, wayluy-yawmaidzil-lil-mukadzdzibiin, wayluyaumaizil mukadzibin, wayluyyauma idzil lilmukadzibin, wayluyyauma'idzil lil mukadzzibiin, wayluyyaumai'izil lil mukazzibiin, wayluyyaumaidziilmukaddzibiin, wayluyyaumaidzilil mukadzibiin, wayluyyaumaidzillilmukadzdzibiin, wayluyyaumaizdil lilmukatzdibiin, wayluyyaumaizil lil mukadzibin, wayluyyaumaizil lil mukadzzibin, wayluyyaumaizilil mukazabiin, wayluyyaumaizillilmukazibin, wayluyyaumaizin lilmukazzibiin, wayluyyauwmaizil lilmukazzibiin, wayluyyawmaidzil lilmukadzbiiiiin"
A8,"ala kul li sai 'in qodir, ala kuli sya in khadir, ala kulli saiingqodir, ala kulli saiyinqodir, ala kulli syai in qadir, ala kulli syai in qodiir, ala kulli syai'in kodir, ala kulli syai'in qadiir, ala kulli syai'in qadir, ala kulli syai'in qodiir, ala kulli syai'in qodir, ala kulli syai'ing kodiir, ala kulli syaiin qadir, ala kulli syaiin qodiir, ala kulli syaiin qodir, ala kulli syaiing kodir, ala kulli syaiing qodiir, ala kulli syaiing qodir, ala kulli syaiinkhodir, ala kulli syain qadir, ala kulli syaing khodiir, ala kulli syainqadir, ala kulli syay-in qadiiiir, ala kullisai ingkodir, ala kullisyai in kladirr, ala kullisyaiingkodir, ala qulli syai in qodir, ala qulli syaiin qodir, ala qulli syain qadir, alaa kulli syai inngkodiir, alaa kulli syai inqadiir, alaa kulli syai'iin qadiir, alaa kulli syai'in qadiir, alaa kulli syai'in qodiir, alaa kulli syai'ing qodiir, alaa kulli syai-in qhodiir, alaa kulli syaiin qadiir, alaa kulli syaiin qodiir, alaa kulli syain qodiir, alaa kulli syay ini qadiiiir, alaa kulli syay-in qadiir, alaa qulli syaiin qadiir, alaa qullisyainkodiir, alaakulisyaiin qodir, alaakulli syaidingqodir, alaakulli syaiingqodir, alaakullisya'iin qodiir, alaakullisyaiin qadiir, alakulisaiwqodir, alakulisyainkodir, alakulisyainqadir, alakulli saiingkodir, alakulli syai ing kodiir, alakulli syai'inqadiir, alakullisaiinkodir, alakullisyai ingkodiir, alakullisyaii'n qadir, alakullisyainqodiir, alalulisayiinkhodir, alaqulisyaiinqodir, alaqullisyaiinqadiir, alaqullisyaiinqodir, alla kuli syaiin khadir, alla kulli syaiin qadiir, allakullisyaiin qadir, ‘ala qullisyai ing qodir"
A9,"tastati'un, yas ta ti'u, yas tag tiruun, yas taq yaun, yas taqirrul, yas tathi'un.., yas tati'un, yas tatiiruun, yas tatiun, yas tatti'un, yashtaati'uun, yashtathi'un, yasta qi'un, yasta qirun, yasta'ilun, yasta'tiuun, yastaghfiruun, yastaghti'un, yastagkirun, yastak'yuun, yastakti'un, yastaktiun, yastaqi'uun, yastaqilun, yastaqiuun, yastaqqiuun, yastaqyaum, yastaqyun, yastathi'un, yastathi'uun, yastathi'uun., yastathi'uuuun, yastathii 'uun, yastathii'un, yastathii'uun, yastathirun, yastathiun, yastati uun, yastati'un, yastati'uun, yastatii'uun, yastatiruun, yastatiun, yastatiyun, yastati’un, yastattiunn, yasthatii'uun, yasytaththiruun"
A10,"inallahaghofururohim, inallahagofurirrohim, inallahagofurullahim, inallahhagafurrurrahim, inna allah ghirufurrohim, inna allaha ghafur rahiim, inna allaha ghofurun rohiim, innaallahagofururahim, innalilaaha ghafuurur rahiim, innallaaha gafuururrahiim, innallaaha ghafururrahim, innallaaha ghafuurur-rahiim, innallaaha ghafuururrahiiiim, innallaaha ghafuururrahiim, innallaaha ghafuuruurraahiim, innallaaha ghofurur rahiim, innallaaha ghofuurur rohiim, innallaaha ghofuururrahiim, innallah ha gofurrurrohim, innallah haghofururrohim, innallaha ghafurrurrahim, innallaha ghafurur rahim, innallaha ghafurur rohiim, innallaha ghafururrahiim, innallaha ghafururrahim, innallaha ghafururrohiim, innallaha ghafuurur rahiim, innallaha ghafuururrahiim, innallaha ghofurrurrohiim, innallaha ghofururahiim, innallaha ghofururrahiim, innallaha ghofururrahim, innallaha ghofururrohiim, innallaha ghofururrohim, innallaha ghofururrokhiim, innallaha ghofuurur rahiim, innallaha ghofuurur rohiim, innallaha ghofuururrohim, innallaha goffururrahim, innallaha gofhurur rohiim, innallaha gofurur, innallaha gofururrohim, innallaha gofuurur rahiim, innallahaa gafururrahiim, innallahaghofururrahim, innallahaghofuururrahiim, innallahagofurrurohim, innallahagofurrurrohiim, innallahagofururohim, innallahagopururrahim, innallahha ghafururrahiim, innallahha ghofururrohiim, innalllaha ghofururrohim, innalloha ghafuururrohiim, innalloha gofurur rohiim, innalloha gofururrohim, innallohagofururrohim, innallooha ghofururrohiim, innallooha gofuururrohiim, innawallaha ghafurrurrahiim, innawloha ghofuururrokhiim, innnallaaha ghafuururrahiiiim"
A11,"ma dza lulladzi, ma kalalul, ma salul ladzi, ma salullazi, ma talulladzi, ma tsalul ladzii, ma tsalulladzi, ma tsalulladzii, ma tsalullazi, maazalullazi, madulladzi, masalul ladzi, masalul ladzii, masaluladzi, masalulladzi, masalulladzii, masalullaji, masalullazi, mastsalulladzii, mataladi, matalluladhi, matallulladzi, mataluladzi, matalulladzi, matsallulladzii, matsalul laadzii, matsalul ladzi, matsalul ladzii, matsalul lazii, matsalul-ladzii, matsaluladzi, matsalulladii, matsalulladzi, matsalulladzii, matsalulladziiii, matsalullazdi, matsalullazi, matsalullladzi, mazalulladzi, mazzalullazi, mmakaulazi"
